species,drug,n_classified,n_clsi_breakpoint,n_ecv_wt,n_ecv_nwt,n_unclassifiable,ecv_used,version,date_added
Cunninghamella bertholletiae,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Cyberlindnera rhodanensis,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Debaryomyces fabryi,Itraconazole,2,0,0,0,2,,v1,2026-07-06
Epicoccum nigrum,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Exophiala attenuata,Itraconazole,2,0,0,0,2,,v1,2026-07-06
Exophiala dermatitidis,Itraconazole,20,0,0,0,20,,v1,2026-07-06
Exophiala phaeomuriformis,Itraconazole,2,0,0,0,2,,v1,2026-07-06
Fonsecaea pedrosoi,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Fusarium annulatum,Itraconazole,2,0,0,0,2,,v1,2026-07-06
Fusarium dimerum,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Fusarium dimerum species complex,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Fusarium falciforme,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Fusarium incarnatum-equiseti species complex,Itraconazole,3,0,0,0,3,,v1,2026-07-06
Fusarium musae,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Fusarium oxysporum species complex,Itraconazole,25,0,0,0,25,,v1,2026-07-06
Fusarium petroliphilum,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Fusarium solani,Itraconazole,4,0,0,0,4,,v1,2026-07-06
Fusarium solani species complex,Itraconazole,65,0,0,0,65,,v1,2026-07-06
Geotrichum clavatum,Itraconazole,25,0,0,0,25,,v1,2026-07-06
Geotrichum silvicola,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Gibberella fujikuroi species complex,Itraconazole,36,0,0,0,36,,v1,2026-07-06
Kluyveromyces marxianus,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Kodamaea ohmeri,Itraconazole,8,0,0,0,8,,v1,2026-07-06
Lichtheimia corymbifera,Itraconazole,9,0,0,0,9,,v1,2026-07-06
Lichtheimia ramosa,Itraconazole,6,0,0,0,6,,v1,2026-07-06
Lodderomyces elongisporus,Itraconazole,5,0,0,0,5,,v1,2026-07-06
Lomentospora prolificans,Itraconazole,30,0,0,0,30,,v1,2026-07-06
Magnusiomyces capitatus,Itraconazole,18,0,0,0,18,,v1,2026-07-06
Malassezia pachydermatis,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Medicopsis romeroi,Itraconazole,2,0,0,0,2,,v1,2026-07-06
Microascus cirrosus,Itraconazole,2,0,0,0,2,,v1,2026-07-06
Monascus ruber,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Mucor circinelloides,Itraconazole,15,0,0,0,15,,v1,2026-07-06
Mucor circinelloides/ Mucor ramosissimus,Itraconazole,2,0,0,0,2,,v1,2026-07-06
Mucor indicus,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Paecilomyces lilacinus,Itraconazole,19,0,0,0,19,,v1,2026-07-06
Paecilomyces variotii,Itraconazole,14,0,0,0,14,,v1,2026-07-06
Penicillium chrysogenum,Itraconazole,2,0,0,0,2,,v1,2026-07-06
Penicillium citrinum,Itraconazole,3,0,0,0,3,,v1,2026-07-06
Penicillium georgiense,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Penicillium roqueforti group,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Penicillium subgenus aspergilloides,Itraconazole,4,0,0,0,4,,v1,2026-07-06
Penicillium subgenus furcatum,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Penicillium subgenus terverticillata,Itraconazole,4,0,0,0,4,,v1,2026-07-06
Penicillium variabile,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Phaeoacremonium parasiticum,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Phialemonium curvatum,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Pichia cactophila,Itraconazole,14,0,0,0,14,,v1,2026-07-06
Pichia kluyveri,Itraconazole,3,0,0,0,3,,v1,2026-07-06
Pichia manshurica,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Pichia myanmarensis,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Pichia norvegensis,Itraconazole,3,0,0,0,3,,v1,2026-07-06
Pichia onychis,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Pleurostomophora richardsiae,Itraconazole,2,0,0,0,2,,v1,2026-07-06
Pseudopithomyces sacchari,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Purpureocillium lilacinum,Itraconazole,5,0,0,0,5,,v1,2026-07-06
Rasamsonia argillacea,Itraconazole,8,0,0,0,8,,v1,2026-07-06
Rasamsonia argillacea species complex,Itraconazole,6,0,0,0,6,,v1,2026-07-06
Rhizomucor miehei,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Rhizomucor pusillus,Itraconazole,8,0,0,0,8,,v1,2026-07-06
Rhizopus microsporus,Itraconazole,3,0,0,0,3,,v1,2026-07-06
Rhizopus microsporus group,Itraconazole,41,0,0,0,41,,v1,2026-07-06
Rhizopus oryzae,Itraconazole,20,0,0,0,20,,v1,2026-07-06
Rhizopus oryzae species complex,Itraconazole,10,0,0,0,10,,v1,2026-07-06
Rhodotorula mucilaginosa,Itraconazole,40,0,0,0,40,,v1,2026-07-06
Saccharomyces cerevisiae,Itraconazole,65,0,0,0,65,,v1,2026-07-06
Sarocladium kiliense,Itraconazole,19,0,0,0,19,,v1,2026-07-06
Scedosporium apiospermum,Itraconazole,15,0,0,0,15,,v1,2026-07-06
Scedosporium apiospermum / Scedosporium boydii,Itraconazole,61,0,0,0,61,,v1,2026-07-06
Scedosporium aurantiacum,Itraconazole,19,0,0,0,19,,v1,2026-07-06
Scedosporium boydii,Itraconazole,10,0,0,0,10,,v1,2026-07-06
Scedosporium dehoogii,Itraconazole,3,0,0,0,3,,v1,2026-07-06
Scopulariopsis brevicaulis,Itraconazole,3,0,0,0,3,,v1,2026-07-06
Scopulariopsis brevicaulis / Scopulariopsis brumptii,Itraconazole,3,0,0,0,3,,v1,2026-07-06
Trichoderma longibrachiatum,Itraconazole,2,0,0,0,2,,v1,2026-07-06
Trichomonascus ciferrii complex,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Trichosporon asahii,Itraconazole,79,0,0,0,79,,v1,2026-07-06
Trichosporon capitatum,Itraconazole,2,0,0,0,2,,v1,2026-07-06
Trichosporon inkin,Itraconazole,2,0,0,0,2,,v1,2026-07-06
Trichosporon loubieri,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Trichosporon montevideense,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Trichosporon mucoides,Itraconazole,3,0,0,0,3,,v1,2026-07-06
Trichosporon mycotoxinivorans,Itraconazole,5,0,0,0,5,,v1,2026-07-06
Trichosporon ovoides,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Unspeciated Aspergillus,Itraconazole,3,0,0,0,3,,v1,2026-07-06
Unspeciated Candida,Itraconazole,5,0,0,0,5,,v1,2026-07-06
Unspeciated Chaetomium,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Unspeciated Coprinellus,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Unspeciated Corpinellus,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Unspeciated Cunninghamella,Itraconazole,2,0,0,0,2,,v1,2026-07-06
Unspeciated Curvularia,Itraconazole,9,0,0,0,9,,v1,2026-07-06
Unspeciated Exophiala,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Unspeciated Fusarium,Itraconazole,2,0,0,0,2,,v1,2026-07-06
Unspeciated Lichtheimia,Itraconazole,6,0,0,0,6,,v1,2026-07-06
Unspeciated Mucor,Itraconazole,6,0,0,0,6,,v1,2026-07-06
Unspeciated Paecilomyces,Itraconazole,6,0,0,0,6,,v1,2026-07-06
Unspeciated Penicillium,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Unspeciated Phaeoacremonium,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Unspeciated Phialemoniopsis,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Unspeciated Rhizopus,Itraconazole,6,0,0,0,6,,v1,2026-07-06
Unspeciated Rhodotorula,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Unspeciated Sarocladium,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Unspeciated Scedosporium,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Unspeciated Scopulariopsis,Itraconazole,3,0,0,0,3,,v1,2026-07-06
Unspeciated Syncephalastrum,Itraconazole,2,0,0,0,2,,v1,2026-07-06
Unspeciated Trichosporon,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Unspeciated Yeast,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Verruconis gallopava,Itraconazole,3,0,0,0,3,,v1,2026-07-06
Wangiella dermatitidis,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Wickerhamomyces anomalus,Itraconazole,1,0,0,0,1,,v1,2026-07-06
Yarrowia lipolytica,Itraconazole,8,0,0,0,8,,v1,2026-07-06
Acremonium strictum genogroup III,Micafungin,1,0,0,0,1,,v1,2026-07-06
Alternaria alternata,Micafungin,2,0,0,0,2,,v1,2026-07-06
Apiotrichum mycotoxinivorans,Micafungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus aculeatus,Micafungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus alabamensis,Micafungin,4,0,0,0,4,,v1,2026-07-06
Aspergillus brasiliensis,Micafungin,2,0,0,0,2,,v1,2026-07-06
Aspergillus caelatus,Micafungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus clavatus,Micafungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus flavus,Micafungin,11,0,0,0,11,,v1,2026-07-06
Aspergillus flavus species complex,Micafungin,320,0,0,0,320,,v1,2026-07-06
Aspergillus foetidus,Micafungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus fumigatus,Micafungin,2085,0,0,0,2085,,v1,2026-07-06
Aspergillus fumisynnematus,Micafungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus hiratsukae,Micafungin,2,0,0,0,2,,v1,2026-07-06
Aspergillus hortai,Micafungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus lentulus,Micafungin,11,0,0,0,11,,v1,2026-07-06
Aspergillus melleus,Micafungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus nidulans,Micafungin,49,0,0,0,49,,v1,2026-07-06
Aspergillus nidulans species complex,Micafungin,20,0,0,0,20,,v1,2026-07-06
Aspergillus niger,Micafungin,143,0,0,0,143,,v1,2026-07-06
Aspergillus niger species complex,Micafungin,216,0,0,0,216,,v1,2026-07-06
Aspergillus nomius,Micafungin,3,0,0,0,3,,v1,2026-07-06
Aspergillus ochraceus species complex,Micafungin,2,0,0,0,2,,v1,2026-07-06
Aspergillus parasiticus,Micafungin,4,0,0,0,4,,v1,2026-07-06
Aspergillus piperis,Micafungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus sclerotiorum,Micafungin,4,0,0,0,4,,v1,2026-07-06
Aspergillus sydowii,Micafungin,10,0,0,0,10,,v1,2026-07-06
Aspergillus tamarii,Micafungin,3,0,0,0,3,,v1,2026-07-06
Aspergillus terreus,Micafungin,77,0,0,0,77,,v1,2026-07-06
Aspergillus terreus species complex,Micafungin,48,0,0,0,48,,v1,2026-07-06
Aspergillus thermomutatus,Micafungin,3,0,0,0,3,,v1,2026-07-06
Aspergillus tubingensis,Micafungin,22,0,0,0,22,,v1,2026-07-06
Aspergillus udagawae,Micafungin,2,0,0,0,2,,v1,2026-07-06
Aspergillus unguis,Micafungin,5,0,0,0,5,,v1,2026-07-06
Aspergillus ustus,Micafungin,6,0,0,0,6,,v1,2026-07-06
Aspergillus ustus species complex,Micafungin,12,0,0,0,12,,v1,2026-07-06
Aspergillus versicolor,Micafungin,14,0,0,0,14,,v1,2026-07-06
Aspergillus versicolor species complex,Micafungin,1,0,0,0,1,,v1,2026-07-06
Aspergillus welwitschiae,Micafungin,1,0,0,0,1,,v1,2026-07-06
Aureobasidium pullulans,Micafungin,2,0,0,0,2,,v1,2026-07-06
Blastobotrys adeninivorans,Micafungin,2,0,0,0,2,,v1,2026-07-06
Candida albicans,Micafungin,9784,9784,0,0,0,,v1,2026-07-06
Candida auris,Micafungin,122,122,0,0,0,,v1,2026-07-06
Candida blankii,Micafungin,1,0,0,0,1,,v1,2026-07-06
Candida bracarensis,Micafungin,13,0,0,0,13,,v1,2026-07-06
Candida cacao,Micafungin,2,0,0,0,2,,v1,2026-07-06
Candida catenulata,Micafungin,4,0,0,0,4,,v1,2026-07-06
Candida digboiensis,Micafungin,1,0,0,0,1,,v1,2026-07-06
Candida dubliniensis,Micafungin,527,0,0,0,527,,v1,2026-07-06
Candida duobushaemulonii,Micafungin,5,0,0,0,5,,v1,2026-07-06
Candida fabianii,Micafungin,31,0,0,0,31,,v1,2026-07-06
Candida fermentati,Micafungin,47,0,0,0,47,,v1,2026-07-06
Candida fluviatilis,Micafungin,1,0,0,0,1,,v1,2026-07-06
Candida glabrata,Micafungin,4313,4313,0,0,0,,v1,2026-07-06
Candida guilliermondii,Micafungin,149,149,0,0,0,,v1,2026-07-06
Candida haemulonii,Micafungin,16,0,0,0,16,,v1,2026-07-06
Candida inconspicua,Micafungin,20,0,0,0,20,,v1,2026-07-06
Candida inconspicua/Pichia cactophila,Micafungin,2,0,0,0,2,,v1,2026-07-06
Candida intermedia,Micafungin,3,0,0,0,3,,v1,2026-07-06
Candida kefyr,Micafungin,181,0,0,0,181,,v1,2026-07-06
Candida krusei,Micafungin,647,647,0,0,0,,v1,2026-07-06
Candida lipolytica,Micafungin,18,0,0,0,18,,v1,2026-07-06
Candida lusitaniae,Micafungin,416,0,0,0,416,,v1,2026-07-06
Candida margitis,Micafungin,1,0,0,0,1,,v1,2026-07-06
Candida metapsilosis,Micafungin,81,0,0,0,81,,v1,2026-07-06
Candida nivariensis,Micafungin,14,0,0,0,14,,v1,2026-07-06
Candida norvegensis,Micafungin,8,0,0,0,8,,v1,2026-07-06
Candida orthopsilosis,Micafungin,174,0,0,0,174,,v1,2026-07-06
Candida palmioleophila,Micafungin,1,0,0,0,1,,v1,2026-07-06
Candida parapsilosis,Micafungin,3424,3424,0,0,0,,v1,2026-07-06
Candida pararugosa,Micafungin,13,0,0,0,13,,v1,2026-07-06
Candida pelliculosa,Micafungin,48,0,0,0,48,,v1,2026-07-06
Candida pseudohaemulonii,Micafungin,3,0,0,0,3,,v1,2026-07-06
Candida quercitrusa,Micafungin,3,0,0,0,3,,v1,2026-07-06
Candida rugosa,Micafungin,9,0,0,0,9,,v1,2026-07-06
Candida sojae,Micafungin,2,0,0,0,2,,v1,2026-07-06
Candida spencermartinsiae,Micafungin,1,0,0,0,1,,v1,2026-07-06
Candida sphaerica,Micafungin,2,0,0,0,2,,v1,2026-07-06
Candida thasaenensis,Micafungin,1,0,0,0,1,,v1,2026-07-06
Candida theae,Micafungin,3,0,0,0,3,,v1,2026-07-06
Candida tropicalis,Micafungin,2139,2139,0,0,0,,v1,2026-07-06
Candida utilis,Micafungin,9,0,0,0,9,,v1,2026-07-06
Coprinellus radians,Micafungin,1,0,0,0,1,,v1,2026-07-06
Cryptococcus gattii,Micafungin,14,0,0,0,14,,v1,2026-07-06
Cryptococcus gattii species complex,Micafungin,6,0,0,0,6,,v1,2026-07-06
Cryptococcus laurentii,Micafungin,2,0,0,0,2,,v1,2026-07-06
Cryptococcus neoformans,Micafungin,100,0,0,0,100,,v1,2026-07-06
Cryptococcus neoformans var. grubii,Micafungin,431,0,0,0,431,,v1,2026-07-06
Cryptococcus neoformans var. neoformans,Micafungin,52,0,0,0,52,,v1,2026-07-06
Cunninghamella bertholletiae,Micafungin,1,0,0,0,1,,v1,2026-07-06
Cyberlindnera rhodanensis,Micafungin,1,0,0,0,1,,v1,2026-07-06
Debaryomyces fabryi,Micafungin,2,0,0,0,2,,v1,2026-07-06
Epicoccum nigrum,Micafungin,1,0,0,0,1,,v1,2026-07-06
Exophiala attenuata,Micafungin,2,0,0,0,2,,v1,2026-07-06
Exophiala dermatitidis,Micafungin,17,0,0,0,17,,v1,2026-07-06
Exophiala phaeomuriformis,Micafungin,2,0,0,0,2,,v1,2026-07-06
Fonsecaea pedrosoi,Micafungin,1,0,0,0,1,,v1,2026-07-06
Fusarium annulatum,Micafungin,2,0,0,0,2,,v1,2026-07-06
Fusarium dimerum,Micafungin,1,0,0,0,1,,v1,2026-07-06
Fusarium dimerum species complex,Micafungin,1,0,0,0,1,,v1,2026-07-06
Fusarium falciforme,Micafungin,1,0,0,0,1,,v1,2026-07-06
Fusarium incarnatum-equiseti species complex,Micafungin,4,0,0,0,4,,v1,2026-07-06
Fusarium musae,Micafungin,1,0,0,0,1,,v1,2026-07-06
Fusarium oxysporum species complex,Micafungin,25,0,0,0,25,,v1,2026-07-06
Fusarium petroliphilum,Micafungin,1,0,0,0,1,,v1,2026-07-06
Fusarium solani,Micafungin,4,0,0,0,4,,v1,2026-07-06
Fusarium solani species complex,Micafungin,65,0,0,0,65,,v1,2026-07-06
Geotrichum clavatum,Micafungin,35,0,0,0,35,,v1,2026-07-06
Geotrichum silvicola,Micafungin,2,0,0,0,2,,v1,2026-07-06
Gibberella fujikuroi species complex,Micafungin,37,0,0,0,37,,v1,2026-07-06
Kluyveromyces marxianus,Micafungin,1,0,0,0,1,,v1,2026-07-06
Kodamaea ohmeri,Micafungin,9,0,0,0,9,,v1,2026-07-06
Lichtheimia corymbifera,Micafungin,9,0,0,0,9,,v1,2026-07-06
Lichtheimia ramosa,Micafungin,6,0,0,0,6,,v1,2026-07-06
Lodderomyces elongisporus,Micafungin,7,0,0,0,7,,v1,2026-07-06
Lomentospora prolificans,Micafungin,30,0,0,0,30,,v1,2026-07-06
Magnusiomyces capitatus,Micafungin,26,0,0,0,26,,v1,2026-07-06
Malassezia pachydermatis,Micafungin,1,0,0,0,1,,v1,2026-07-06
Medicopsis romeroi,Micafungin,2,0,0,0,2,,v1,2026-07-06
Microascus cirrosus,Micafungin,2,0,0,0,2,,v1,2026-07-06
Monascus ruber,Micafungin,1,0,0,0,1,,v1,2026-07-06
Mucor circinelloides,Micafungin,15,0,0,0,15,,v1,2026-07-06
Mucor circinelloides/ Mucor ramosissimus,Micafungin,2,0,0,0,2,,v1,2026-07-06
Mucor indicus,Micafungin,1,0,0,0,1,,v1,2026-07-06
Paecilomyces lilacinus,Micafungin,19,0,0,0,19,,v1,2026-07-06
Paecilomyces variotii,Micafungin,14,0,0,0,14,,v1,2026-07-06
Penicillium chrysogenum,Micafungin,2,0,0,0,2,,v1,2026-07-06
Penicillium citrinum,Micafungin,3,0,0,0,3,,v1,2026-07-06
Penicillium georgiense,Micafungin,1,0,0,0,1,,v1,2026-07-06
Penicillium roqueforti group,Micafungin,1,0,0,0,1,,v1,2026-07-06
Penicillium subgenus aspergilloides,Micafungin,4,0,0,0,4,,v1,2026-07-06
Penicillium subgenus furcatum,Micafungin,1,0,0,0,1,,v1,2026-07-06
Penicillium subgenus terverticillata,Micafungin,4,0,0,0,4,,v1,2026-07-06
Penicillium variabile,Micafungin,1,0,0,0,1,,v1,2026-07-06
Phaeoacremonium parasiticum,Micafungin,1,0,0,0,1,,v1,2026-07-06
Phialemonium curvatum,Micafungin,1,0,0,0,1,,v1,2026-07-06
Pichia cactophila,Micafungin,14,0,0,0,14,,v1,2026-07-06
Pichia kluyveri,Micafungin,3,0,0,0,3,,v1,2026-07-06
Pichia manshurica,Micafungin,1,0,0,0,1,,v1,2026-07-06
Pichia myanmarensis,Micafungin,1,0,0,0,1,,v1,2026-07-06
Pichia norvegensis,Micafungin,4,0,0,0,4,,v1,2026-07-06
Pichia onychis,Micafungin,1,0,0,0,1,,v1,2026-07-06
Pleurostomophora richardsiae,Micafungin,2,0,0,0,2,,v1,2026-07-06
Pseudopithomyces sacchari,Micafungin,1,0,0,0,1,,v1,2026-07-06
Purpureocillium lilacinum,Micafungin,5,0,0,0,5,,v1,2026-07-06
Rasamsonia argillacea,Micafungin,9,0,0,0,9,,v1,2026-07-06
Rasamsonia argillacea species complex,Micafungin,6,0,0,0,6,,v1,2026-07-06
Rhizomucor miehei,Micafungin,1,0,0,0,1,,v1,2026-07-06
Rhizomucor pusillus,Micafungin,9,0,0,0,9,,v1,2026-07-06
Rhizopus microsporus,Micafungin,3,0,0,0,3,,v1,2026-07-06
Rhizopus microsporus group,Micafungin,40,0,0,0,40,,v1,2026-07-06
Rhizopus oryzae,Micafungin,20,0,0,0,20,,v1,2026-07-06
Rhizopus oryzae species complex,Micafungin,10,0,0,0,10,,v1,2026-07-06
Rhodotorula mucilaginosa,Micafungin,52,0,0,0,52,,v1,2026-07-06
Saccharomyces cerevisiae,Micafungin,92,0,0,0,92,,v1,2026-07-06
Sarocladium kiliense,Micafungin,17,0,0,0,17,,v1,2026-07-06
Scedosporium apiospermum,Micafungin,15,0,0,0,15,,v1,2026-07-06
Scedosporium apiospermum / Scedosporium boydii,Micafungin,60,0,0,0,60,,v1,2026-07-06
Scedosporium aurantiacum,Micafungin,19,0,0,0,19,,v1,2026-07-06
Scedosporium boydii,Micafungin,10,0,0,0,10,,v1,2026-07-06
Scedosporium dehoogii,Micafungin,3,0,0,0,3,,v1,2026-07-06
Scopulariopsis brevicaulis,Micafungin,3,0,0,0,3,,v1,2026-07-06
Scopulariopsis brevicaulis / Scopulariopsis brumptii,Micafungin,3,0,0,0,3,,v1,2026-07-06
Trichoderma longibrachiatum,Micafungin,2,0,0,0,2,,v1,2026-07-06
Trichomonascus ciferrii complex,Micafungin,1,0,0,0,1,,v1,2026-07-06
Trichosporon asahii,Micafungin,94,0,0,0,94,,v1,2026-07-06
Trichosporon capitatum,Micafungin,2,0,0,0,2,,v1,2026-07-06
Trichosporon inkin,Micafungin,2,0,0,0,2,,v1,2026-07-06
Trichosporon loubieri,Micafungin,1,0,0,0,1,,v1,2026-07-06
Trichosporon montevideense,Micafungin,1,0,0,0,1,,v1,2026-07-06
Trichosporon mucoides,Micafungin,3,0,0,0,3,,v1,2026-07-06
Trichosporon mycotoxinivorans,Micafungin,9,0,0,0,9,,v1,2026-07-06
Trichosporon ovoides,Micafungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Aspergillus,Micafungin,3,0,0,0,3,,v1,2026-07-06
Unspeciated Candida,Micafungin,5,0,0,0,5,,v1,2026-07-06
Unspeciated Chaetomium,Micafungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Coprinellus,Micafungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Corpinellus,Micafungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Cunninghamella,Micafungin,2,0,0,0,2,,v1,2026-07-06
Unspeciated Curvularia,Micafungin,9,0,0,0,9,,v1,2026-07-06
Unspeciated Exophiala,Micafungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Fusarium,Micafungin,2,0,0,0,2,,v1,2026-07-06
Unspeciated Lichtheimia,Micafungin,6,0,0,0,6,,v1,2026-07-06
Unspeciated Mucor,Micafungin,6,0,0,0,6,,v1,2026-07-06
Unspeciated Paecilomyces,Micafungin,6,0,0,0,6,,v1,2026-07-06
Unspeciated Penicillium,Micafungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Phaeoacremonium,Micafungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Phialemoniopsis,Micafungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Rhizopus,Micafungin,6,0,0,0,6,,v1,2026-07-06
Unspeciated Rhodotorula,Micafungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Sarocladium,Micafungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Scedosporium,Micafungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Scopulariopsis,Micafungin,3,0,0,0,3,,v1,2026-07-06
Unspeciated Syncephalastrum,Micafungin,2,0,0,0,2,,v1,2026-07-06
Unspeciated Trichosporon,Micafungin,1,0,0,0,1,,v1,2026-07-06
Unspeciated Yeast,Micafungin,1,0,0,0,1,,v1,2026-07-06
Verruconis gallopava,Micafungin,3,0,0,0,3,,v1,2026-07-06
Wangiella dermatitidis,Micafungin,1,0,0,0,1,,v1,2026-07-06
Wickerhamomyces anomalus,Micafungin,1,0,0,0,1,,v1,2026-07-06
Yarrowia lipolytica,Micafungin,8,0,0,0,8,,v1,2026-07-06
Acremonium strictum genogroup III,Posaconazole,1,0,0,0,1,,v1,2026-07-06
Apiotrichum mycotoxinivorans,Posaconazole,1,0,0,0,1,,v1,2026-07-06
Aspergillus aculeatus,Posaconazole,1,0,0,0,1,,v1,2026-07-06
Aspergillus alabamensis,Posaconazole,4,0,0,0,4,,v1,2026-07-06
Aspergillus brasiliensis,Posaconazole,2,0,0,0,2,,v1,2026-07-06
Aspergillus caelatus,Posaconazole,1,0,0,0,1,,v1,2026-07-06
Aspergillus clavatus,Posaconazole,1,0,0,0,1,,v1,2026-07-06
Aspergillus flavus,Posaconazole,11,0,0,0,11,,v1,2026-07-06
Aspergillus flavus species complex,Posaconazole,320,0,0,0,320,,v1,2026-07-06
Aspergillus foetidus,Posaconazole,1,0,0,0,1,,v1,2026-07-06
Aspergillus fumigatus,Posaconazole,2083,0,2026,57,0,0.5,v1,2026-07-06
Aspergillus fumisynnematus,Posaconazole,1,0,0,0,1,,v1,2026-07-06
Aspergillus hiratsukae,Posaconazole,2,0,0,0,2,,v1,2026-07-06
Aspergillus hortai,Posaconazole,1,0,0,0,1,,v1,2026-07-06
Aspergillus lentulus,Posaconazole,11,0,0,0,11,,v1,2026-07-06
Aspergillus melleus,Posaconazole,1,0,0,0,1,,v1,2026-07-06
Aspergillus nidulans,Posaconazole,49,0,0,0,49,,v1,2026-07-06
Aspergillus nidulans species complex,Posaconazole,20,0,0,0,20,,v1,2026-07-06
Aspergillus niger,Posaconazole,142,0,0,0,142,,v1,2026-07-06
Aspergillus niger species complex,Posaconazole,216,0,0,0,216,,v1,2026-07-06
Aspergillus nomius,Posaconazole,3,0,0,0,3,,v1,2026-07-06
Aspergillus ochraceus species complex,Posaconazole,2,0,0,0,2,,v1,2026-07-06
Aspergillus parasiticus,Posaconazole,4,0,0,0,4,,v1,2026-07-06
Aspergillus piperis,Posaconazole,1,0,0,0,1,,v1,2026-07-06
Aspergillus sclerotiorum,Posaconazole,4,0,0,0,4,,v1,2026-07-06
Aspergillus sydowii,Posaconazole,10,0,0,0,10,,v1,2026-07-06
Aspergillus tamarii,Posaconazole,3,0,0,0,3,,v1,2026-07-06
Aspergillus terreus,Posaconazole,77,0,0,0,77,,v1,2026-07-06
Aspergillus terreus species complex,Posaconazole,48,0,0,0,48,,v1,2026-07-06
Aspergillus thermomutatus,Posaconazole,3,0,0,0,3,,v1,2026-07-06
Aspergillus tubingensis,Posaconazole,22,0,0,0,22,,v1,2026-07-06
Aspergillus udagawae,Posaconazole,2,0,0,0,2,,v1,2026-07-06
Aspergillus unguis,Posaconazole,5,0,0,0,5,,v1,2026-07-06
Aspergillus ustus,Posaconazole,7,0,0,0,7,,v1,2026-07-06
Aspergillus ustus species complex,Posaconazole,11,0,0,0,11,,v1,2026-07-06
Aspergillus versicolor,Posaconazole,14,0,0,0,14,,v1,2026-07-06
Aspergillus versicolor species complex,Posaconazole,1,0,0,0,1,,v1,2026-07-06
Aspergillus welwitschiae,Posaconazole,1,0,0,0,1,,v1,2026-07-06
Aureobasidium pullulans,Posaconazole,2,0,0,0,2,,v1,2026-07-06
Blastobotrys adeninivorans,Posaconazole,3,0,0,0,3,,v1,2026-07-06
Candida albicans,Posaconazole,9784,0,9422,362,0,0.06,v1,2026-07-06
Candida auris,Posaconazole,122,0,0,0,122,,v1,2026-07-06
